story-1,"In the year 1024 of the Kingdom, the legendary Demon Lord, said to resurrect once every 100 years, has awakened.\nHowever, since his body before and after resurrection was different,\nthe Demon Lord began philosophical contemplation about his own identity and fell into anguish.\nNow is our chance! Form alliances with other nations and defeat the Demon Lord!"
nation-mynation, "Kingdom"
nation-forest, "Forest Nation"
nation-desert, "Desert Nation"
nation-mountain, "Mountain Nation"
nation-samurai, "Samurai Nation"
nation-magical, "Magical Nation"
nation-mechanical, "Mech Nation"
nation-carnival, "Carnival Nation"
cardpack-free, "Free Card Pack"
cardpack-soldiers, "Legion Card Pack"
cardpack-knights, "Knight Order Card Pack"
cardpack-politics, "Domestic Affairs Card Pack"
cardpack-war, "Wartime System Card Pack"
cardpack-magic, "Magic Card Pack"
cardpack-mystic, "Mystic Card Pack"
cardpack-mineral, "Ore Card Pack"
cardpack-mechanical, "Mechanical Card Pack"
cardpack-fancy, "Flashy Card Pack"
cardpack-samurai, "Samurai Card Pack"
cardpack-siege, "Siege Weapon Card Pack"
cardpack-finance, "Finance Card Pack"
cardpack-building, "Building Card Pack"
cardpack-forest, "Forest Card Pack"
cardpack-desert, "Desert Card Pack"
cardpack-mountain, "Mountain Card Pack"
terrain-plain, "Plain"
terrain-forest, "Forest"
terrain-mountain, "Mountain"
terrain-desert, "Desert"
terrain-mana-node, "Mana Node"
battlecard-soldier,"Soldier"
battlecard-knight,"Knight"
battlecard-general,"General"
battlecard-archer,"Archer"
battlecard-fortune,"Fortune Teller"
battlecard-wizard,"Wizard"
battlecard-mage,"Mage"
battlecard-blacksmith,"Blacksmith"
battlecard-golem,"Golem"
battlecard-samurai,"Samurai"
battlecard-ninja,"Ninja"
battlecard-monk,"Monk"
battlecard-bard,"Bard"
battlecard-artillery,"Artillery"
battlecard-clown,"Clown"
battlecard-wrestler,"Wrestler"
cardtype-str, "Power"
cardtype-agi, "Skill"
cardtype-mag, "Magic"
battlecardskill-cooperation, "Cooperation"
battlecardskill-cooperation-desc, "Enhancement effects from other cards are doubled"
battlecardskill-dragon-killer, "Dragon Killer"
battlecardskill-dragon-killer-desc, "Power +200% when enemy is dragon type"
battlecardskill-command, "Command"
battlecardskill-command-desc, "Cards behind this one get +20% power"
battlecardskill-sniper, "Sniper"
battlecardskill-sniper-desc, "Power +200% when enemy is animal or bird type"
battlecardskill-forecast, "Foresight"
battlecardskill-forecast-desc, "Reduces enemy skill effects by 20%"
battlecardskill-long-spell, "Long Spell"
battlecardskill-long-spell-desc, "Adds power equal to the number of cards in front of this one"
battlecardskill-magic-amplifier, "Magic Amplifier"
battlecardskill-magic-amplifier-desc, "Magic type cards get +50% power"
battlecardskill-weapon-enhancement, "Weapon Enhancement"
battlecardskill-weapon-enhancement-desc, "Power type cards get +50% power"
battlecardskill-bushido, "Bushido"
battlecardskill-bushido-desc, "Power +100% when placed in front position"
battlecardskill-stealth, "Stealth"
battlecardskill-stealth-desc, "This card is immune to enemy skill effects"
battlecardskill-ki, "Ki"
battlecardskill-ki-desc, "Power +200% when enemy is undead type"
battlecardskill-support, "Support"
battlecardskill-support-desc, "All cards get +1 power" 
battlecardskill-shooting-observation, "Artillery Observation"
battlecardskill-shooting-observation-desc, "Power gained from support effects +100%"
battlecardskill-viper-master, "Decoy Master"
battlecardskill-viper-master-desc, "Adjacent cards are immune to enemy skill effects" 
battlecardskill-two-platoon, "Two Platoon"
battlecardskill-two-platoon-desc, "If the next card placed is power type, both this card and that card get +100% power"
structurecard-farm,"Farm"
structurecard-farm-desc, "Food production +2"
structurecard-woodcutter,"Woodcutter's Hut"
structurecard-woodcutter-desc, "Wood production +2"
structurecard-tunnel,"Mine Tunnel"
structurecard-tunnel-desc, "Iron production +2"
structurecard-market,"Market"
structurecard-market-desc, "Gold production +5"
structurecard-shrine,"Shrine"
structurecard-shrine-desc, "Mana production +2"
structurecard-granary,"Granary"
structurecard-granary-desc, "Food production +50%"
structurecard-sawmill,"Sawmill"
structurecard-sawmill-desc, "Wood production +50%"
structurecard-smelter,"Smelter"
structurecard-smelter-desc, "Iron production +50%"
structurecard-mint,"Mint"
structurecard-mint-desc, "Gold production +50%"
structurecard-temple,"Temple"
structurecard-temple-desc, "Mana production +50%"
structurecard-camp,"Camp"
structurecard-camp-desc, "Adjacent battles get +1 card slot"
structurecard-catapult,"Catapult"
structurecard-catapult-desc, "Adjacent battles get +3 support power"
structurecard-ballista,"Ballista"
structurecard-ballista-desc, "Adjacent battles get +5 support power"
structurecard-orban-cannon,"Orban Cannon"
structurecard-orban-cannon-desc, "Adjacent battles get +8 support power"
enemy-goblin,"Goblin"
enemy-sabrelouse,"Sabre Mouse"
enemy-rattlesnake,"Rattlesnake"
enemy-condor,"Condor"
enemy-slime,"Slime"
enemy-crocodile,"Crocodile"
enemy-grizzly,"Grizzly Bear"
enemy-skeleton,"Skeleton"
enemy-elemental,"Elemental"
enemy-dragon,"Dragon"
enemy-griffin,"Griffin"
enemy-vampire,"Vampire"
enemy-living-armor,"Living Armor"
enemy-arc-demon,"Arch Demon"
enemy-durendal,"Dullahan"
enemy-obelisk,"Obelisk"
